tag,uptimeMillis,rms,peak,dbfs,zeroRatio,readResult,callState,audioMode,outputDevice
AAWAZ_DIAG,204496167,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204496664,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204497163,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204497651,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204498151,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204498655,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204499158,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204499638,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204500136,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
AAWAZ_DIAG,204500634,0.0,0,-999.0,1.000,320,IDLE,IN_COMMUNICATION,BLUETOOTH_SCO
